num_cands,num_voters,num_dims,correlation,rel_dispersion,num_dims_polarized,subpopulation_std,polarization_distance,num_centrist_cands,prob_centrist_voters,voter_utility,normalization,initial_trials,step_trials,min_num_trials,max_std_error,num_trials,vm,exp_soc_util_performance,est_std_error,variance_soc_util_performance_values,dt,pref_voting_version
3,11,4,0.5,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.851936988524792,0.0033483406162904137,0.11210263744211797,2024-12-23 10:42:32.553007,1.14.21
3,11,4,0.5,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8141705767356874,0.0038595508621910505,0.14894643244553898,2024-12-23 10:42:32.553185,1.14.21
3,11,4,0.5,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,12000,Approval,0.7148387827439959,0.0049477328686377406,0.29373624641223955,2024-12-23 10:42:32.553405,1.14.21
3,11,4,0.5,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7772672923426879,0.004323566593105432,0.1869135876220881,2024-12-23 10:42:32.553589,1.14.21
3,11,4,0.5,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7234329531656983,0.004805957475852948,0.2309491753698087,2024-12-23 10:42:32.553767,1.14.21
3,11,4,0.5,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,13000,Approval,0.6564658262940012,0.004914056017058158,0.3138991570576725,2024-12-23 10:42:32.553949,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.9236226603012936,0.002422909635265674,0.058699040515531736,2024-12-23 10:42:32.554132,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.9225503956334733,0.002387447569210159,0.056993359051379255,2024-12-23 10:42:32.554346,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,12000,Approval,0.7062664908406429,0.004824491938235268,0.27928539382270307,2024-12-23 10:42:32.554550,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7590772702554488,0.004515145320099693,0.20384498607892002,2024-12-23 10:42:32.554746,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.844241986298062,0.0035920343349439793,0.12901420392350094,2024-12-23 10:42:32.554946,1.14.21
3,11,8,0.0,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,10000,Approval,0.7347282198288171,0.0047512422164842005,0.22572045169441732,2024-12-23 10:42:32.555143,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8986799291407842,0.002690745434382444,0.07239386981550704,2024-12-23 10:42:32.555348,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8868669120465807,0.0027766062264114725,0.07708771182333303,2024-12-23 10:42:32.555561,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,13000,Approval,0.674954924788301,0.004957171750994098,0.31943159944333177,2024-12-23 10:42:32.555821,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7622870550319901,0.00442818122598278,0.19606828091249345,2024-12-23 10:42:32.556066,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.8041648491189388,0.004057246803911022,0.16459605502683422,2024-12-23 10:42:32.556283,1.14.21
3,11,8,0.5,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,13000,Approval,0.6600691829134918,0.00487338135519773,0.3087242459856221,2024-12-23 10:42:32.556498,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8449570665731828,0.0036149581026571668,0.13066615291758307,2024-12-23 10:42:32.556707,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8468090066120946,0.003535589486514647,0.12499142977851192,2024-12-23 10:42:32.556916,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,15000,Approval,0.6035619668217327,0.004879085723306107,0.3570583569530467,2024-12-23 10:42:32.557130,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7655268686923032,0.004461352042985873,0.1990167168524908,2024-12-23 10:42:32.557346,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7796258352473195,0.004270728374852044,0.18237296939681205,2024-12-23 10:42:32.557566,1.14.21
3,11,8,0.0,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,10000,Approval,0.7383012689991288,0.004695069796463104,0.22041476025620732,2024-12-23 10:42:32.557792,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.840970627475577,0.0034751295167302788,0.12075317505534217,2024-12-23 10:42:32.558032,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8027194514577864,0.004014107022887255,0.16111443885673662,2024-12-23 10:42:32.558278,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,17000,Approval,0.5687363472708926,0.004998296494924056,0.4246854705020406,2024-12-23 10:42:32.558525,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,Matthews,none,1000,1000,10000,0.005,10000,Approval,0.7587076930897134,0.004473030528795213,0.20006001311322827,2024-12-23 10:42:32.558765,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7254759887735569,0.00480902492636155,0.2312440807029248,2024-12-23 10:42:32.559017,1.14.21
3,11,8,0.5,0.5,0,1,None,None,None,RM,none,1000,1000,10000,0.005,13000,Approval,0.6580603962611365,0.004882209570508519,0.3098437778044543,2024-12-23 10:42:32.559254,1.14.21
4,11,1,0.0,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.8796413171735965,0.0020138875362784776,0.04055337434476919,2024-12-23 10:42:32.559495,1.14.21
4,11,1,0.0,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8474143431878032,0.002508048139027176,0.06289676437130914,2024-12-23 10:42:32.559738,1.14.21
4,11,1,0.0,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.8873979502772165,0.0020725795618299877,0.04295156481511372,2024-12-23 10:42:32.559994,1.14.21
4,11,1,0.0,1.0,0,1,None,None,None,Mixed Proximity-RM,none,1000,1000,10000,0.005,10000,Approval,0.7582625721944406,0.0035454436711134514,0.12568913807955923,2024-12-23 10:42:32.560241,1.14.21
4,11,1,0.0,1.0,0,1,None,None,None,RM,none,1000,1000,10000,0.005,19000,Approval,0.4328490246466976,0.0049534721518234,0.46617630393255,2024-12-23 10:42:32.560494,1.14.21
4,11,1,0.5,1.0,0,1,None,None,None,Linear,none,1000,1000,10000,0.005,10000,Approval,0.880118617817593,0.0020226780056273523,0.040908171918172,2024-12-23 10:42:32.560737,1.14.21
4,11,1,0.5,1.0,0,1,None,None,None,Quadratic,none,1000,1000,10000,0.005,10000,Approval,0.8511166424474688,0.002490329918432533,0.062011229283299225,2024-12-23 10:42:32.560983,1.14.21
4,11,1,0.5,1.0,0,1,None,None,None,Shepsle,none,1000,1000,10000,0.005,10000,Approval,0.8912920660434965,0.002040245596716524,0.04162185834711672,2024-12-23 10:42:32.561231,1.14.21
